,Crop_Name,Crop_Variety,Crop_Category,Part_Used,Industry_Demand,Sowing_Months,Ideal_Soil_Types,Germination_Weather_JSON,Vegetative_Weather_JSON,Flowering_Fruiting_Weather_JSON,Harvesting_Weather_JSON,Nutrient_Needs_NPK,Expected_Yield_per_Acre,Post_Harvest_Handling,Crop_Duration_days_min,Crop_Duration_days_max,Optimal_pH_Range_min,Optimal_pH_Range_max
323,Asparagus,Arka Subhra,Horticultural,"Shoot, Root","Food, Nutraceutical",Jan-Feb,"Red, Loamy, Rocky","20-24°C, 70-80% RH","24-32°C, 65-80% RH","20-28°C, 60-75% RH","16-20°C, 50-65% RH",100:50:50 (kg/ha/year),2-4 tons/acre (shoots),"Sorting, chilling, packaging",210.0,240.0,6.0,7.5
324,Stevia,CIMAP S-13,Sweetener,Leaf,"Food, Pharma","Mar-Jun, Jul-Aug","Red, Loamy, Rocky","25-32°C, 60-75% RH","26-34°C, 50-70% RH","20-28°C, 45-60% RH","15-24°C, 45-56% RH",60:40:40 (kg/ha),2-3 tons/acre (dry leaf),"Drying, sorting, packaging",135.0,140.0,6.0,7.5
325,Cherimoya,White,Fruit/Hort,Fruit,"Food, Pharma",Mar-Apr,"Alluvial, Loamy","22-29°C, 68-80% RH","24-32°C, 65-80% RH","28-34°C, 65-80% RH","22-29°C, 65-80% RH",100:50:50 (g/plant/year),6-9 tons/acre (fruit),"Grading, packing, chilling",1200.0,1500.0,6.0,7.5
326,Cactus Pear,Ofer,Fruit/Hort,Fruit,"Food, Nutraceutical",Jun-Jul,"Sandy, Loamy, Rocky","28-36°C, 45-65% RH","30-38°C, 55-70% RH","28-36°C, 50-65% RH","25-32°C, 45-60% RH",50:50:50 (kg/ha),3-5 tons/acre (fruit),"Cleaning, packing",180.0,220.0,6.0,8.0
327,Tamarillo,Lila,Fruit/Hort,"Fruit, Leaf","Food, Juice, Export","Feb-Mar, Jun","Red, Loamy, Rocky","18-25°C, 65-80% RH","24-32°C, 65-80% RH","25-32°C, 70-80% RH","18-25°C, 65-80% RH",100:40:40 (kg/ha),4-6 tons/acre (fruit),"Grading, washing, chilling",240.0,300.0,6.0,7.0
328,Stevia,CIMAP S-13,Medicinal,Leaf,"Sweetener, Pharma","Mar-Jun, Jul-Aug","Red, Loamy, Rocky","25-32°C, 60-75% RH","26-34°C, 50-70% RH","20-28°C, 45-60% RH","15-24°C, 45-56% RH",60:40:40 (kg/ha),2-3 tons/acre (dry leaves),"Drying, packaging",135.0,140.0,6.0,7.5
329,Garcinia,Cambogia,Medicinal,Fruit,"Pharma, Food",June-July,"Red, Loamy, Alluvial","24-32°C, 62-75% RH","28-36°C, 60-75% RH","28-36°C, 60-80% RH","22-30°C, 60-70% RH",60:30:30 (kg/ha),5-7 tons/acre (fruit),"Sorting, grading, drying",1200.0,1500.0,5.5,7.0
330,Moringa,PKM 1,Medicinal/Hort,"Pod, Leaf","Food, Nutraceutical","Jun-Jul, Feb-Mar","Red, Sandy, Loamy","25-32°C, 60-80% RH","28-36°C, 55-75% RH","28-36°C, 55-70% RH","18-26°C, 45-65% RH",30:30:20 (kg/ha),10-14 tons/acre (pods/leaf),"Grading, drying, packaging",210.0,220.0,6.5,7.0
331,Anthurium,Carnival,Floriculture,Flower,"Cut Flower, Ornamental","Jan-Feb, Sep-Oct","Sandy Loam, Alluvial","20-28°C, 75-85% RH","24-32°C, 70-80% RH","26-32°C, 70-85% RH","18-26°C, 65-75% RH",150:100:200 (g/plant/year),"100,000-130,000 stems/acre","Grading, cold storage",330.0,360.0,5.5,6.5
332,Heliconia,Rostrata,Floriculture,Flower,"Cut Flower, Ornamental","Mar-Jun, Oct-Nov","Red, Sandy, Loamy","24-32°C, 60-80% RH","28-36°C, 65-80% RH","28-36°C, 65-80% RH","18-30°C, 55-65% RH",40:20:20 (kg/ha),"80,000-100,000 spikes/acre","Grading, packing, chilling",540.0,600.0,6.0,8.0
333,Bromeliad,Tillandsia Recurvata,Floriculture,"Foliage, Flower","Ornamental, Florist","Mar-Jun, Oct-Nov","Sandy, Rocky","18-28°C, 60-80% RH","22-32°C, 60-80% RH","25-34°C, 65-85% RH","18-30°C, 50-60% RH",60:30:30 (g/plant/year),"30,000-50,000 pieces/acre","Cleaning, drying, packing",360.0,420.0,5.0,7.0
334,Sweet Pepper,California Wonder,Vegetable,Fruit,"Food, Processing","Oct-Nov, Jun-Jul","Sandy Loam, Alluvial","22-28°C, 65-80% RH","24-32°C, 60-80% RH","22-30°C, 55-65% RH","18-26°C, 55-65% RH",100:50:50 (kg/ha),18-24 tons/acre (fruit),"Grading, packing, chilling",120.0,140.0,6.0,7.0
335,Snap Pea,Arka Ajay,Vegetable,Pod,"Food, Processing, Export","Oct-Nov, Feb-Mar","Sandy Loam, Alluvial","18-24°C, 70-85% RH","20-28°C, 65-80% RH","20-28°C, 60-75% RH","16-22°C, 60-75% RH",60:30:30 (kg/ha),7-9 tons/acre,"Grading, packing, chilling",75.0,90.0,6.0,7.5
336,Asparagus,Arka Subhra,Vegetable,"Shoot, Root","Food, Nutraceutical",Jan-Feb,"Red, Loamy, Rocky","20-24°C, 65-80% RH","24-32°C, 65-80% RH","20-28°C, 60-75% RH","16-20°C, 50-65% RH",100:50:50 (kg/ha/year),2-4 tons/acre (shoots),"Sorting, chilling, packaging",210.0,240.0,6.0,7.5
337,Caper,Rajasthan Local,Medicinal,"FlowerÂ bud, Fruit","Pharma, Food, Export","Mar-Apr, Sep-Oct","Sandy Loam, Rocky, Red","20-28°C, 55-65% RH","25-35°C, 50-60% RH","28-36°C, 45-55% RH","20-30°C, 40-50% RH",40:20:20 (kg/ha),3-4 qtl/acre (buds),"Grading, brining, packing",180.0,240.0,7.0,8.5
338,Indian Gac,Arka Neelachal Gauva,Fruit,"Fruit, Seed","Pharma, Nutraceutical",Jun-Jul,"Alluvial, Loamy","25-32°C, 65-75% RH","28-36°C, 60-75% RH","30-38°C, 55-65% RH","25-32°C, 50-60% RH",80:40:40 (kg/ha),6-8 tons/acre (fruit),"Washing, grading, oil extraction",120.0,150.0,6.0,7.5
339,Karonda,Pant Suvarna,Fruit,Fruit,"Food, Pharma",Jun-Jul,"Sandy Loam, Red","24-32°C, 60-70% RH","28-36°C, 55-65% RH","28-36°C, 50-60% RH","24-32°C, 45-55% RH",60:30:30 (kg/ha),8-10 qtl/acre (fruit),"Grading, packing, chilling",120.0,150.0,6.0,7.5
340,Indian Olive,Jaivik Local,Fruit,"Fruit, Oil","Food, Pharma, Cosmetics","Jun-Jul, Mar-Apr","Red, Rocky, Loamy","22-30°C, 60-70% RH","25-35°C, 55-65% RH","25-32°C, 50-60% RH","22-30°C, 45-55% RH",100:50:50 (kg/ha),4-6 tons/acre (fruit),"Cleaning, grading, oil pressing",180.0,240.0,6.5,8.0
341,Indian Persimmon,TNAU Dwarf,Fruit,Fruit,"Food, Nutraceutical","Feb-Mar, Jun-Jul","Alluvial, Loamy","20-28°C, 65-75% RH","25-35°C, 60-75% RH","25-32°C, 55-65% RH","22-30°C, 50-60% RH",80:40:40 (kg/ha),5-7 tons/acre (fruit),"Grading, packing, chilling",120.0,150.0,6.0,7.5
342,Clustered Fig,Ficus racemosa,Fruit,"Fruit, Latex","Pharma, Food",Jun-Jul,"Alluvial, Sandy","24-32°C, 70-80% RH","28-36°C, 60-75% RH","28-36°C, 55-65% RH","24-32°C, 50-60% RH",60:30:30 (kg/ha),8-12 qtl/acre (fruit),"Drying, grading",90.0,120.0,6.0,7.5
343,Indian Mulberry,Morinda citrifolia,Medicinal/Fruit,"Fruit, Root, Leaf","Pharma, Food, Nutraceutical",Jun-Jul,"Red, Sandy, Loamy","25-32°C, 65-75% RH","28-36°C, 55-65% RH","28-36°C, 50-60% RH","24-32°C, 45-55% RH",80:40:40 (kg/ha),6-8 tons/acre (fruit),"Grading, juiceÂ extraction, drying",180.0,240.0,6.0,7.5
344,Indian Bambara Groundnut,RBL-1,Underutilized,"Seed, Fodder","Food, Nutraceutical",Jun-Jul,"Sandy Loam, Red","26-32°C, 65-75% RH","28-36°C, 55-65% RH","28-34°C, 50-60% RH","24-32°C, 45-55% RH",40:20:20 (kg/ha),3-4 qtl/acre (seed),"Drying, shelling, grading",90.0,120.0,6.0,7.5
345,Indian Horsegram,PaiyurÂ 1,Underutilized,"Seed, Fodder","Food, Nutraceutical",Jun-Jul,"Sandy, Loamy, Red","26-32°C, 65-75% RH","28-36°C, 55-65% RH","28-34°C, 50-60% RH","24-32°C, 45-55% RH",40:20:20 (kg/ha),2-3 qtl/acre (seed),"Drying, cleaning, grading",75.0,90.0,6.0,7.5
346,Indian Lablab,Pusa EarlyÂ Prolific,Underutilized,"Seed, Fodder","Food, Nutraceutical",Jun-Jul,"Sandy Loam, Alluvial","26-32°C, 65-75% RH","28-36°C, 55-65% RH","28-34°C, 50-60% RH","24-32°C, 45-55% RH",40:20:20 (kg/ha),3-4 qtl/acre (seed),"Drying, shelling, grading",90.0,120.0,6.0,7.5
347,Marigold (African Dwarf),OrangeÂ Hero,Floriculture,Flower,"Decor, EssentialÂ Oil, Pharma",Aug-Sep,"Sandy Loam, Alluvial","22-30°C, 65-80% RH","24-32°C, 65-80% RH","25-32°C, 55-70% RH","22-28°C, 45-60% RH",80:60:60 (kg/ha),4-6 tons/acre (flowers),"FlowerÂ cutting, grading, packing",110.0,120.0,6.0,8.0
348,Statice,Midnight Blue,Floriculture,Flower,"Ornamental, Dried Flower",Sep-Oct,"Sandy, Loamy","18-25°C, 60-70% RH","20-28°C, 60-70% RH","22-28°C, 55-70% RH","18-25°C, 45-60% RH",90:60:60 (kg/ha),2.5-3.5 lakhÂ stems/acre,"Drying, grading, packing",120.0,150.0,6.0,8.0
349,Periwinkle,Dwarka Local,Medicinal,"Leaf, Root","Pharma, Export","Feb-Mar, Oct-Nov","Sandy Loam, Red","20-28°C, 65-75% RH","25-35°C, 55-65% RH","24-32°C, 50-60% RH","20-28°C, 45-55% RH",60:30:30 (kg/ha),6-8 qtl/acre (dry herb),"Drying, cleaning, grading",90.0,120.0,6.0,7.5
350,Globe Amaranth,Lavender Queen,Floriculture,Flower,"Ornamental, Dried Flower",Aug-Sep,"Sandy, Loamy","20-28°C, 65-75% RH","24-32°C, 60-70% RH","25-32°C, 55-70% RH","22-28°C, 45-60% RH",80:60:60 (kg/ha),1.5-2.5 lakhÂ heads/acre,"Drying, grading, packing",90.0,120.0,6.0,8.0
351,Baobab,African Baobab,Medicinal/Fruit,"Fruit, Seed pulp","Nutraceutical, Beverage",Feb-Apr,"Sandy, Red, Rocky","25-38°C, 40-65% RH","25-35°C, 45-60% RH","28-36°C, 45-55% RH","28-32°C, 40-55% RH",80:30:50,6-9 tons pulp+seed,"Powdering, oil extraction",,,6.2,8.0
352,Goji Berry,"HimGoji, Ningxia Red",Medicinal/Berry,"Fruit, Juice","Pharma, Nutraceutical","Feb-Mar, Sep-Oct","Sandy Loam, Red Loam","18-32°C, 50-80% RH","22-30°C, 55-75% RH","22-28°C, 55-75% RH","20-26°C, 50-70% RH",60:40:40,2-3 tons fresh,"Drying, grading, extract prep",,,6.0,7.5
353,Black Currant,Ben Hope,Medicinal/Berry,"Fruit, Leaf","Confectionery, Beverage","Dec-Jan, Jun-Jul","Sandy Loam, Alluvial, Rocky","16-28°C, 65-80% RH","18-30°C, 65-80% RH","18-26°C, 60-80% RH","15-22°C, 60-80% RH",80:60:80,2-2.5 tons fresh,"Chilling, jams, wine making",,,6.0,7.5
354,Macadamia Nut,"Beaumont, A268",Nut,Kernel,"Baking, Oil, Confectionery","Aug-Sep, Nov-Dec","Sandy, Loamy, Deep","24-28°C, 60-70% RH","24-33°C, 50-65% RH","22-28°C, 50-65% RH","20-26°C, 50-65% RH",120:80:80,0.6-1.2 tons kernel,"Cracking, drying, oil extraction",,,5.5,6.5
355,Bayberry,Yunnan Purple,Fruit/Medicinal,Fruit,"Juice, Cosmetic, Pharma","Jan-Feb, Jul-Aug","Red Loam, Alluvial","20-28°C, 65-80% RH","20-30°C, 65-80% RH","20-28°C, 65-80% RH","16-22°C, 65-80% RH",60:40:60,3-4 tons fresh,"Juice extraction, packaging",,,5.5,6.8
356,Chestnut,Marigoule,Nut,Nut,"Roasted, Bakery, Pharma","Feb-Mar, Jun-Aug","Red Loam, Alluvial, Rocky","18-24°C, 60-70% RH","18-30°C, 55-70% RH","18-24°C, 55-70% RH","14-20°C, 55-70% RH",80:60:80,1-2 tons in-shell,"Drying, roasting, candying",,,5.5,7.0
357,Jaboticaba,Myrciaria cauliflora,Exotic Berry,Fruit,"Gourmet, Juice, Pharma","Feb-Apr, Jun-Jul","Black, Loamy","22-28°C, 75-85% RH","24-32°C, 65-80% RH","24-30°C, 70-85% RH","20-26°C, 65-75% RH",60:30:40,7-10 tons fresh,"Packing, cold chain",,,5.0,6.5
358,Pecan,Western (Carya),Nut,Kernel,"Baking, Oil, Snacks","Dec-Jan, Jul-Aug","Sandy Loam, Alluvial","18-24°C, 65-80% RH","20-32°C, 55-80% RH","22-30°C, 55-80% RH","18-25°C, 55-80% RH",100:60:60,1-1.5 tons kernel,"Shelling, oil processing, storage",,,6.0,7.5
359,Pitaya (Yellow DF),Ecuador Yellow,Fruit,Fruit,"Juice, Dessert, Export","Mar-May, Jul-Aug","Sandy, Rocky, Loam","28-34°C, 55-75% RH","28-37°C, 50-85% RH","28-36°C, 65-80% RH","24-30°C, 55-75% RH",80:80:80,8-13 tons fruit,"Sorting, chilling, export grading",,,6.0,7.5
360,Soursop,Keralam Local,Tropical Fruit,"Fruit, Leaf","Pharma, Juices, Frozen Foods",Jun-Aug,"Sandy, Red Loam","24-30°C, 65-85% RH","24-34°C, 70-85% RH","24-34°C, 70-85% RH","18-24°C, 70-85% RH",60:60:60,6-10 tons fresh,"Freezing, juice extraction",,,6.0,7.0
361,Mammee Apple,West Indies Type,Tropical Fruit,Fruit,"Gourmet, Juice, Culinary","Feb-Mar, Jul-Aug","Sandy, Rocky, Alluvial","22-28°C, 60-80% RH","22-32°C, 60-80% RH","22-28°C, 60-80% RH","16-22°C, 60-80% RH",70:40:40,4-6 tons fresh,"Chilling, cutting, freezing",,,6.0,7.0
362,Hazelnut,Tonda di Giffoni,Nut,Nut,"Baking, Oil, Confectionery","Nov-Dec, Jul-Aug","Loamy, Alluvial, Rocky","16-22°C, 60-70% RH","16-26°C, 55-70% RH","16-26°C, 55-70% RH","10-20°C, 55-70% RH",90:60:90,1.2-1.5 tons shelled,"Shelling, baking, spread production",,,6.0,7.5
363,Blueberry,"Biloxi, Sharpblue",Berry,Fruit,"Frozen Foods, Pharmacy","Dec-Jan, Jun-Jul","Sandy Loam, Peaty, Rocky","12-20°C, 65-80% RH","12-25°C, 60-80% RH","12-24°C, 60-80% RH","8-15°C, 60-80% RH",60:60:60,2-4 tons fresh,"Freezing, export packaging",,,4.5,5.5
364,Prickly Pear,O. ficus-indica,Succulent/Fruit,"Fruit, Pad","Nutraceutical, Fodder","Feb-Apr, Jul-Aug","Sandy, Rocky, Arid","25-32°C, 40-70% RH","25-38°C, 40-70% RH","25-38°C, 40-70% RH","22-32°C, 40-70% RH",40:40:40,"6-9 tons fruit, 15-20 t pads","Pulp processing, oil extraction",,,6.2,8.5
365,Breadnut,Maya Nut,Nut,Nut,"Snack, Flour, Bakery, Health","Jul-Aug, Nov-Feb","Sandy Loam, Alluvial, Rocky","24-30°C, 60-75% RH","24-34°C, 50-75% RH","24-30°C, 50-75% RH","18-26°C, 50-75% RH",70:40:40,2-4 tons nut,"Roasting, flour production",,,6.0,8.0
